origin_id,origin_dipslay_name,destination_id,destination_display_name,date_range,mean_travel_time,range_lower,range_upper
"177","1230 Peachtree St NE, Atlanta, GA","722","Census Tract 112.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1456,1009,2100
"177","1230 Peachtree St NE, Atlanta, GA","723","Census Tract 112.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1610,1184,2187
"177","1230 Peachtree St NE, Atlanta, GA","728","Census Tract 113.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1577,1082,2297
"177","1230 Peachtree St NE, Atlanta, GA","729","Census Tract 113.03","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1862,1337,2591
"177","1230 Peachtree St NE, Atlanta, GA","746","Census Tract 114.05","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1745,1340,2272
"177","1230 Peachtree St NE, Atlanta, GA","747","Census Tract 114.10","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2067,1613,2648
"177","1230 Peachtree St NE, Atlanta, GA","748","Census Tract 114.11","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1700,1233,2342
"177","1230 Peachtree St NE, Atlanta, GA","750","Census Tract 204","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1212,849,1729
"177","1230 Peachtree St NE, Atlanta, GA","751","Census Tract 205","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1255,816,1929
"177","1230 Peachtree St NE, Atlanta, GA","752","Census Tract 206","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1376,977,1936
"177","1230 Peachtree St NE, Atlanta, GA","753","Census Tract 208.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1235,902,1689
"177","1230 Peachtree St NE, Atlanta, GA","754","Census Tract 209","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1278,818,1994
"177","1230 Peachtree St NE, Atlanta, GA","755","Census Tract 10.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",616,364,1040
"177","1230 Peachtree St NE, Atlanta, GA","756","Census Tract 7","9/1/2019 - 9/30/2019, Weekdays, Daily Average",998,669,1488
"177","1230 Peachtree St NE, Atlanta, GA","757","Census Tract 87","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1358,929,1984
"177","1230 Peachtree St NE, Atlanta, GA","758","Census Tract 234.16","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1841,1315,2575
"177","1230 Peachtree St NE, Atlanta, GA","759","Census Tract 238.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1968,1371,2823
"177","1230 Peachtree St NE, Atlanta, GA","760","Census Tract 223.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1350,965,1886
"177","1230 Peachtree St NE, Atlanta, GA","762","Census Tract 201","9/1/2019 - 9/30/2019, Weekdays, Daily Average",587,413,833
"177","1230 Peachtree St NE, Atlanta, GA","763","Census Tract 223.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1274,870,1864
"177","1230 Peachtree St NE, Atlanta, GA","764","Census Tract 220.07","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1480,1041,2102
"177","1230 Peachtree St NE, Atlanta, GA","765","Census Tract 202","9/1/2019 - 9/30/2019, Weekdays, Daily Average",882,578,1344
"177","1230 Peachtree St NE, Atlanta, GA","766","Census Tract 203","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1106,781,1564
"177","1230 Peachtree St NE, Atlanta, GA","767","Census Tract 234.23","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2164,1465,3195
"177","1230 Peachtree St NE, Atlanta, GA","769","Census Tract 68.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1826,1350,2468
"177","1230 Peachtree St NE, Atlanta, GA","770","Census Tract 69","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1594,1104,2301
"177","1230 Peachtree St NE, Atlanta, GA","771","Census Tract 70.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1438,962,2149
"177","1230 Peachtree St NE, Atlanta, GA","772","Census Tract 74","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1215,854,1727
"177","1230 Peachtree St NE, Atlanta, GA","774","Census Tract 114.12","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1768,1291,2421
"177","1230 Peachtree St NE, Atlanta, GA","775","Census Tract 218.13","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1064,741,1526
"177","1230 Peachtree St NE, Atlanta, GA","776","Census Tract 212.18","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1478,1049,2081
"177","1230 Peachtree St NE, Atlanta, GA","777","Census Tract 76.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1809,1294,2527
"177","1230 Peachtree St NE, Atlanta, GA","778","Census Tract 21","9/1/2019 - 9/30/2019, Weekdays, Daily Average",834,565,1230
"177","1230 Peachtree St NE, Atlanta, GA","779","Census Tract 23","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1204,869,1666
"177","1230 Peachtree St NE, Atlanta, GA","780","Census Tract 78.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1660,1328,2073
"177","1230 Peachtree St NE, Atlanta, GA","781","Census Tract 78.05","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1492,1112,2000
"177","1230 Peachtree St NE, Atlanta, GA","782","Census Tract 78.06","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1779,1407,2248
"177","1230 Peachtree St NE, Atlanta, GA","783","Census Tract 24","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1394,1051,1847
"177","1230 Peachtree St NE, Atlanta, GA","784","Census Tract 26","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1159,815,1646
"177","1230 Peachtree St NE, Atlanta, GA","785","Census Tract 28","9/1/2019 - 9/30/2019, Weekdays, Daily Average",787,494,1252
"177","1230 Peachtree St NE, Atlanta, GA","786","Census Tract 30","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1059,735,1523
"177","1230 Peachtree St NE, Atlanta, GA","787","Census Tract 31","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1205,802,1809
"177","1230 Peachtree St NE, Atlanta, GA","788","Census Tract 32","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1134,761,1687
"177","1230 Peachtree St NE, Atlanta, GA","789","Census Tract 35","9/1/2019 - 9/30/2019, Weekdays, Daily Average",913,584,1427
"177","1230 Peachtree St NE, Atlanta, GA","790","Census Tract 38","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1419,1007,1997
"177","1230 Peachtree St NE, Atlanta, GA","791","Census Tract 78.07","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1390,1002,1926
"177","1230 Peachtree St NE, Atlanta, GA","792","Census Tract 78.08","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1605,1156,2228
"177","1230 Peachtree St NE, Atlanta, GA","793","Census Tract 79","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1757,1214,2542
"177","1230 Peachtree St NE, Atlanta, GA","794","Census Tract 80","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1821,1268,2613
"177","1230 Peachtree St NE, Atlanta, GA","795","Census Tract 81.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1298,895,1882
"177","1230 Peachtree St NE, Atlanta, GA","796","Census Tract 82.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1354,966,1896
